SIGNNAME,BOROUGH,CLASS,ACRES,latitude,longitude
Tiffany Street Pier,X,PARK,4.231,40.80543923883481,-73.89067959056229
Arlington Marsh Park,R,PARK,70.6,40.64322947559541,-74.17499788215059
Halsey Garden,B,PARK,0.121,40.68320474140795,-73.93566188482048
Her-King Alagantic Block Association Garden,B,PARK,0.045,40.67932034438847,-73.93965657129556
Brownsville Community Farm,B,PARK,0.117,40.66418986490103,-73.91390645385468
Little Flower Playground,M,PARK,1.294,40.71243715315297,-73.9882368549342
Harlem Valley Garden,M,PARK,0.057,40.81461254454291,-73.9435522212439
Siempre Verde Garden,M,PARK,0.061,40.71983545475826,-73.98401158371439
Electric Ladybug Garden,M,PARK,0.115,40.80088758860657,-73.95629306149502
Courtney Callender Playground,M,PARK,0.653,40.810044104955274,-73.94011420783792
Mathews-Palmer Playground,M,PARK,0.475,40.76139591526423,-73.99273557454218
White Playground,M,PARK,0.684,40.79164156841998,-73.94590604211942
Peachtree Garden,M,PARK,0.12,40.721659307491386,-73.98197847834398
64th Street Community Garden,B,PARK,0.009,40.63932770145302,-74.02122554124469
FDNY-EMT Yadira Arroyo Playground,X,PARK,0.322,40.82839831220758,-73.85796878805482
Poseidon Playground,B,PARK,2.944,40.57245002758274,-73.99208307156667
Ambrosini Field,X,PARK,6.1,40.84450088024819,-73.78339295884916
Honey Locust Park,M,PARK,0.295,40.760173457478324,-73.96285180205174
Delphin H. Greene Playground,Q,PARK,2.8,40.685000261141816,-73.72890006857908
Belmont Playground,B,PARK,0.682,40.675493553882134,-73.86284220834534
Pena Herrera Playground,B,PARK,0.736,40.649316467234556,-74.01206583725899
Bath Playground,B,PARK,1.157,40.5949708597894,-73.99313990698461
Golconda Playground,B,PARK,1.5,40.69782634031524,-73.9822852782184
Jerome Playground,B,PARK,0.694,40.658925687180044,-73.8795907884457
Arden Woods,R,PARK,146.126,40.55793525143319,-74.19049801840299
Abe Stark Skating Rink,B,PARK,8.807,40.573746816178605,-73.98560273184016
Peter's Field,M,PARK,0.882,40.73610997909507,-73.98157656358029
Arbutus Woods Park,R,PARK,2.65,40.52865563632444,-74.18526061314512
Long Pond Park,R,PARK,91.086,40.51376748018808,-74.22819280775732
Bunker Ponds Park,R,PARK,36.691,40.52358727327384,-74.18275285543395
Steeplechase Park,B,PARK,10.01,40.57407159663593,-73.98395815374634
Al Stabile Playground,Q,PARK,0.494,40.677276869865764,-73.83553939017031
Roosevelt Triangle,M,PARK,0.073,40.81132820796263,-73.95438160109723
Melrose Playground,X,PARK,1.001,40.820474578908886,-73.91842470405906
Bella Abzug Park,M,PARK,2.592,40.755722175882894,-74.00044402179283
St. Gregory's Playground,M,PARK,0.231,40.78951768526086,-73.97202670000924
Louis Pl Friends,B,PARK,0.041,40.677419310177086,-73.91705355701068
Vernon/throop Av Block Association,B,PARK,0.039,40.6952004936032,-73.94309142531286
Newport Playground,B,PARK,0.918,40.660863283324055,-73.90703217432755
F.A.R.R. Community Garden,B,PARK,0.028,40.678194465218965,-73.92664091545942
Granite St Block Association,B,PARK,0.172,40.682391207266356,-73.90759798785778
Flynn Playground,X,PARK,0.82,40.82104461473541,-73.91193278891544
Madison Square Park,M,PARK,6.234,40.742204861123334,-73.98796864791248
Bathgate Playground,X,PARK,2.5,40.852805032331275,-73.8942662822464
Hansborough Recreation Center,M,PARK,0.29,40.812827799986124,-73.93931871272149
Garden Of Happiness,X,PARK,0.341,40.84853688054866,-73.88498490093336
O'Neill Triangle,X,PARK,0.636,40.82365615016027,-73.9113494596366
Plaza Lafayette,M,PARK,0.092,40.85155081714151,-73.94159830729771
Church Triangle,X,PARK,0.09,40.82989882264916,-73.85030692568091
Targee Street Triangle,R,PARK,0.206,40.608659034371634,-74.08783486931907
Pleasant Plains Plaza,R,PARK,0.054,40.52394002464702,-74.21607833081241
New 123rd St Block Association Garden,M,PARK,0.14,40.80665986078208,-73.94747607399216
Peaceful Valley Garden,M,PARK,0.052,40.80045611572255,-73.94416120026932
Lower East Side Playground,M,PARK,0.828,40.72938420158867,-73.9830210321828
Hawkins Park,X,PARK,0.136,40.84660096048219,-73.78651941325765
Bryant Park,M,PARK,9.603,40.753486637719625,-73.98294492791455
Aimee Triangle,B,PARK,0.11,40.61300707684485,-73.94401863507022
Margrichante Garden,M,PARK,0.171,40.81375188507358,-73.94344303676829
Sherman Square,M,PARK,0.066,40.777372680257834,-73.98233655494809
Marble Hill Playground,X,PARK,1.646,40.87748556604094,-73.90818127476093
Walton Slope,X,PARK,0.55,40.84513573857612,-73.91164661565097
Augustus St. Gaudens Playground,M,PARK,0.642,40.735550026279185,-73.98215310259825
Sidney Hillman Playground,M,PARK,0.245,40.71521834553659,-73.97965743072719
Marlboro Playground,B,PARK,1.072,40.591219264660296,-73.98084347027259
Cherry Clinton Playground,M,PARK,0.483,40.71131293595616,-73.9862802947384
Arbor Place,B,PARK,0.068,40.69601727337074,-73.98055736792752
Brooklyn Museum,B,PARK,12.66,40.670542830088124,-73.96374995540832
Park,B,PARK,0.004,40.62090006780697,-74.02285557870026
Schiff Mall,M,PARK,0.376,40.71943023223854,-73.9911113219613
Bar and Grill Park,B,PARK,0.489,40.70126642944429,-73.98816677031603
Julio Carballo Fields,X,PARK,3.351,40.815597912099236,-73.88926278278404
Roberto Clemente Ballfield,B,PARK,1.93,40.706353136155975,-73.96766899401375
Heath Triangle,X,PARK,0.11,40.868762028792204,-73.9075720316156
Lillian D Wald Playground,M,PARK,0.68,40.71204164535484,-73.98436373013031
Ciccarone Park,X,PARK,0.553,40.855966189307175,-73.88670438185923
Vernam Barbadoes Peninsula,Q,PARK,23.958,40.594107027730615,-73.80606922354869
Rodney Park North,B,PARK,0.37,40.70907384370846,-73.95632157863209
Park,R,PARK,1.178,40.53378515548187,-74.2001298278722
Park,Q,PARK,1.226,40.600821373545976,-73.82223777187828
Bay Breeze Park,Q,PARK,4.796,40.59066463353001,-73.81449959522274
Cpl Fischer Park,X,PARK,0.44,40.8404467057688,-73.92300312478353
Derosa O'Boyle Triangle,X,PARK,0.017,40.82255818246792,-73.81905878809128
MacLaughlin Playground,X,PARK,0.284,40.88794310888105,-73.90535210292671
LaGuardia Landing Lights,Q,PARK,0.464,40.76448804848116,-73.88762580583357
Vietnam Veterans Plaza,M,PARK,0.728,40.70261114145839,-74.0098989069878
Ewen Park,X,PARK,7.84,40.882191203758914,-73.9100205698652
Asser Levy Playground,M,PARK,2.436,40.736442426383874,-73.97561547066744
Brownsville Playground,B,PARK,3.017,40.65652469806392,-73.90222156959479
McLaughlin Playground,Q,PARK,0.356,40.72555580557693,-73.7662819092228
Coney Island Creek Park,B,PARK,8.892,40.581452177644245,-74.00471724740514
River Avenue Parks,X,PARK,0.67,40.825505724818704,-73.92690985194098
Castle Hill Park,X,PARK,8.834,40.81190303029323,-73.84750275597801
Park,X,PARK,0.029,40.84542689860235,-73.91583641642625
Park,X,PARK,0.032,40.84520585958658,-73.90634371244279
Bartel-Pritchard Square,B,PARK,1.711,40.661006682050235,-73.97984518780734
Great Kills Park,R,PARK,334.502,40.55551974613194,-74.10855604110573
Harlem River Park,M,PARK,0.267,40.80378842260957,-73.93153364485848
Father Fagan Park,M,PARK,0.15,40.7266730534971,-74.0033601966747
Echo Triangle,X,PARK,0.16,40.84991106494767,-73.90614893979667
Lady Moody Triangle,B,PARK,0.052,40.59672059875658,-73.97435522471231
Las Casitas Community Garden,X,PARK,0.19,40.8355738765538,-73.92540428666187
Harlem River Park,M,PARK,0.203,40.80778514032236,-73.93462043214475
Playground One,M,PARK,0.44,40.71226804590559,-73.99739983055548
Police Officer Edward Byrne Park,Q,PARK,4.966,40.667339191045365,-73.80744201321546
Vamos Sembrar,M,PARK,0.023,40.7283205270393,-73.97908749208722
City Island Wetlands,X,PARK,8.005,40.847873707486315,-73.79181902427419
Community Garden Association,M,PARK,0.023,40.72836499769408,-73.97905442469418
Woodrow Wilson Triangle,X,PARK,0.1,40.81345825683185,-73.85811313551343
Samuel Marx Triangle,M,PARK,0.03,40.802548394244326,-73.95275854776933
Harlem Art Park,M,PARK,0.347,40.80103639100322,-73.93879869123157
Park,B,PARK,0.004,40.62216258836618,-74.0203994212544
Dan Ross Playground,B,PARK,0.256,40.622803356018956,-74.02158919036334
Concrete Plant Park,X,PARK,6.282,40.82572862378888,-73.88508003088761
Park,X,PARK,0.088,40.88508329789395,-73.89734770857524
Dodgers Triangle,R,PARK,0.033,40.61479325942277,-74.1195213443147
Park,B,PARK,0.281,40.66293529345002,-73.98887031511329
Staats Circle,R,PARK,0.28,40.59929116691596,-74.07233498502201
Park,B,PARK,0.058,40.656946828438606,-73.98185447867174
Machate Circle,B,PARK,4.32,40.65100261789325,-73.97218599468478
Hancock Park,M,PARK,0.067,40.80953378752262,-73.95327620939169
Miracle Garden,X,PARK,0.11,40.842470132144015,-73.88773234868945
Taylor-Soundview Block Assoc. Garden,X,PARK,0.13,40.81699699860486,-73.86119042528338
McKinley Park,B,PARK,8.25,40.626457520660786,-74.01693793649
McCarthy Square,M,PARK,0.039,40.73520607662538,-74.00171623312386
Alice Austen Park,R,PARK,15.524,40.61583593980406,-74.06257303794507
West Farms Soldiers Cemetery,X,PARK,0.68,40.843676267894004,-73.87922130496167
Seton Park,X,PARK,11.689,40.88605197865171,-73.91671892188475
Middle Village Veterans Triangle,Q,PARK,0.028,40.7144635323557,-73.87726461062695
Watson Houses Playground,X,PARK,0.26,40.8261089400823,-73.88109199185632
Snug Harbor Cemetery,R,PARK,6.489,40.637679391185365,-74.10036510263647
Sheridan Triangle,X,PARK,0.06,40.90490381445634,-73.89668332115768
Family Community Garden,M,PARK,0.04,40.79512006173944,-73.94378246384075
Highland Park,Q,PARK,101.28,40.687723842258706,-73.88835420621746
Givans Creek Woods,X,PARK,10.735,40.88007439292246,-73.82984103625296
Graniteville Quarry Park,R,PARK,4.465,40.62488576119131,-74.15395598780205
American Triangle,Q,PARK,0.009,40.748419103733504,-73.86336143049634
Murphy Triangle,X,PARK,0.1,40.85116416100203,-73.89334909689539
Merriam Playground,X,PARK,2.944,40.83963746754864,-73.92676861017455
Marion Hopkinson Playground,B,PARK,1.32,40.68178115418977,-73.91331971291531
Frank White Memorial Garden,M,PARK,0.086,40.824242112251156,-73.9498564538125
Miracle Garden,M,PARK,0.117,40.722652618841835,-73.983527694694
9th St Community Garden Park,M,PARK,0.478,40.72537176190706,-73.97746068372128
Major Mark Park,Q,PARK,0.9,40.711668944416026,-73.78853841997213
Annunciation Playground,M,PARK,1.24,40.818286574360684,-73.95209047402956
Legacy Park,Q,PARK,0.292,40.73057018905393,-73.81215693389275
The Queen Elizabeth II September 11th Garden,M,PARK,0.117,40.70474739346185,-74.00933844527434
Park,X,PARK,0.022,40.83408201946127,-73.9165211626767
Crack Is Wack Playground,M,PARK,1.369,40.804358673442366,-73.93177320479096
Dorrance Brooks Square,M,PARK,0.038,40.81826245737504,-73.94726405343282
Riverdale Playground,X,PARK,2.58,40.887735672216586,-73.91492057856472
Parks Council Success Garden,M,PARK,0.25,40.813804576488494,-73.94281515817816
132 St Block Association Park,M,PARK,0.171,40.81231342863787,-73.94314773538855
6th St and Ave B Community Garden,M,PARK,0.39,40.72432137993365,-73.98208137618046
Park,X,PARK,0.167,40.84526040179063,-73.92176438865853
Sunshine Playground,M,PARK,0.24,40.78849251528357,-73.94784711770725
Fishbridge Garden,M,PARK,0.1,40.709070274158,-74.00137700438584
Dr. Ronald E. McNair Playground,M,PARK,0.603,40.802533046056155,-73.93808826467907
Convent Garden,M,PARK,0.134,40.82833894423812,-73.94267774235858
Septuagesimo UNO,M,PARK,0.04,40.77861855209911,-73.98434648998574
Hell's Kitchen Park,M,PARK,0.576,40.762968178155276,-73.99258337165075
Dry Dock Playground,M,PARK,1.5,40.725460809794896,-73.97545543161934
El Jardin Del Paraiso Park,M,PARK,0.73,40.722308826356674,-73.97921447782716
Playground Eighty Nine LXXXIX,M,PARK,0.402,40.78864452025814,-73.971891116454
Martin Luther King Triangle,X,PARK,0.16,40.810980223384405,-73.90305706292642
Fort Hamilton Triangle,B,PARK,0.019,40.61639855657916,-74.03077411689216
Joseph Manna Park,R,PARK,0.85,40.62581567186217,-74.17693580445037
Christopher Park,M,PARK,0.186,40.73358660562451,-74.00231529171113
Park,Q,PARK,0.006,40.732438561777364,-73.92374145702387
Bell Malls,Q,PARK,1.652,40.75175985996952,-73.7641399362155
Abraham Lincoln Playground,M,PARK,0.991,40.81219510551868,-73.93718678520433
Locust Grove Civic Triangle,Q,PARK,0.315,40.6663005616196,-73.82318692811434
Park,B,PARK,0.004,40.61978736822905,-74.02251782963846
A Philip Randolph Square,M,PARK,0.074,40.80387619892508,-73.95244464424599
Triboro Plaza,M,PARK,2.3,40.80230297934199,-73.93252038365104
Highland Park Childrens Garden,B,PARK,0.41,40.68293601298601,-73.88788650919314
Two Coves Community Garden,Q,PARK,0.778,40.77228741047044,-73.93202406484977
Park,X,PARK,0.15,40.84534746145332,-73.91777449240351
Donnellan Square,M,PARK,0.108,40.82707785359553,-73.94270306691304
Riverside Park South,M,PARK,71.933,40.77755165818901,-73.99152254855667
Thursby Basin Park,Q,PARK,1.657,40.59557029076536,-73.79181229350618
Mahoney Playground,R,PARK,2.21,40.6433415534654,-74.08585562624158
Fraser Square,B,PARK,0.667,40.61997108971999,-73.94122765505334
Walton Walk,X,PARK,0.037,40.84547266375108,-73.91225831065529
Hutton Triangle,X,PARK,0.1,40.8523135273917,-73.8901075109752
Kosciuszko Street Garden,B,PARK,0.185,40.692244582286065,-73.93924877151927
Jackie Robinson Community Garden,M,PARK,0.058,40.803086879286184,-73.93977259302451
W 124th Street Community Garden,M,PARK,0.046,40.80705119915616,-73.94527115928021
Brisas Del Caribe,M,PARK,0.06,40.72228161089898,-73.98147042506355
Silver Lake Park,R,PARK,205.977,40.625946705814385,-74.09744081494024
Lower East Side Ecology Center,M,PARK,0.15,40.724650210556455,-73.97963604137797
Los Amigos Garden,M,PARK,0.061,40.72251546887355,-73.98202503480692
Lemon Creek Park,R,PARK,104.545,40.512990593953305,-74.20179715978443
Faber Pool and Park,R,PARK,4.339,40.641001960551684,-74.13572056897065
Pier 107 CVII,M,PARK,0.356,40.7890719340868,-73.93664647724815
Generation X,M,PARK,0.11,40.72256846800973,-73.98141253384607
Clumber Corner,B,PARK,0.947,40.70105420859729,-73.989217721099
Columbus Park,M,PARK,3.233,40.715140412372456,-74.00000408370073
Bennett Park,M,PARK,1.8,40.85284979348113,-73.93811113321672
Half-Nelson Playground,X,PARK,0.61,40.8467882346234,-73.91929813823168
Korean War Veterans Plaza,B,PARK,1.195,40.69563905611163,-73.99052024286624
Poe Park,X,PARK,2.331,40.86480316287436,-73.89461163505263
Brooklyn Heights Promenade,B,PARK,0.108,40.69552472104338,-73.99814741965032
Plimpton Playground,X,PARK,1,40.8439253315449,-73.92241783795336
Inwood Park,X,PARK,0.36,40.844790395612605,-73.91533819779889
Cedar Playground,X,PARK,1.8,40.855122235475896,-73.91738858813125
East River Playground,M,PARK,1.285,40.78930543673743,-73.93819831944165
Renaissance Playground,M,PARK,1.34,40.82133624426092,-73.94152975858613
Duane Park,M,PARK,0.115,40.71717438187264,-74.00936662391565
Valentine Varian House,X,PARK,0.455,40.87735551131384,-73.8794402580663
Red Hook Recreation Area,B,PARK,58.503,40.6718688587156,-74.00569975591829
Kaiser Park,B,PARK,26.257,40.57917784217014,-73.99591541452571
Eugene McCabe Field,M,PARK,0.789,40.80239437071677,-73.94164355961011
Butterfly Gardens,B,PARK,0.442,40.66019653145901,-73.98645710599446
Tramway Plaza,M,PARK,0.345,40.761039124132765,-73.96437654190186
Harris Park,X,PARK,15.32,40.87628095008671,-73.89188172106765
Mount Hope Garden,X,PARK,0.28,40.852558310004426,-73.90535931314751
Walton Park,X,PARK,0.344,40.85525917642569,-73.90517851473966
Mabel Hampton Playground,X,PARK,0.436,40.85456580357051,-73.90400313832075
Jardin De Las Rosas,X,PARK,0.06,40.85811529310086,-73.90478829788877
Townsend Garden,X,PARK,0.15,40.84691523357287,-73.91101511278904
De Witt Clinton Park,M,PARK,5.829,40.76819128695486,-73.99428948852525
Dyckman House Museum,M,PARK,0.545,40.86745956257079,-73.92286452434358
Rev. Dr. Maggie Howard Playground,R,PARK,4.096,40.62324745031655,-74.07965083930114
Steinway Playground,Q,PARK,0.809,40.776529045236316,-73.903485712424
Playground Ninety,Q,PARK,1.25,40.75731628854973,-73.87858283314773
Coleman Playground,M,PARK,2.61,40.71121407009724,-73.99341327126882
Taqwa Community Farm,X,PARK,0.494,40.83257764627096,-73.92902255656941
Sweetgum Community Garden,X,PARK,0.061,40.83316982562574,-73.93050271702626
Claremont Neighborhood Garden,X,PARK,0.19,40.8341379250874,-73.91019932453558
Greeley Square Park,M,PARK,0.144,40.748611837415424,-73.98831828727228
John Jay Park,M,PARK,3.312,40.76923883510241,-73.94948322536287
Ravenswood Playground,Q,PARK,2.758,40.762607941797604,-73.93534260778645
Herald Square,M,PARK,0.21,40.750292999401,-73.98764660245811
Arcilla Playground,X,PARK,1.377,40.827102301003734,-73.91431006428294
Midland Playground,R,PARK,1.681,40.57490024852954,-74.09880866744838
Grant Park,X,PARK,4.72,40.83685133975191,-73.91295329943509
Sunset Park,B,PARK,24.498,40.647976285539954,-74.0037434375616
Lost Battalion Hall Recreation Center,Q,PARK,2.412,40.73221942169886,-73.86510228175757
Liz Christy Garden,M,PARK,0.267,40.72415498487134,-73.99187973744242
La Plaza Cultural,M,PARK,0.55,40.72534225583981,-73.97865320580225
La Isla Garden,X,PARK,0.11,40.831909501885065,-73.92926362627345
Pleasant Village Community Garden,M,PARK,0.383,40.79657280954263,-73.93160560372152
Nathan Weidenbaum Playground,Q,PARK,0.732,40.73816029274271,-73.90224439469466
Carl Schurz Park,M,PARK,14.938,40.77513974371548,-73.94350022431
Queensbridge Park,Q,PARK,20.863,40.75578062152567,-73.94817221459637
CEP Community Garden,M,PARK,0.057,40.81107388631923,-73.95092279406525
Discovery Garden,Q,PARK,0.294,40.694809394861345,-73.79102163555426
St. Michael's Playground,Q,PARK,5.43,40.7589809167379,-73.90015134931373
Jacob H. Schiff Playground,M,PARK,3.852,40.82051088349701,-73.95202343793538
Frederick B. Judge Playground,Q,PARK,2.217,40.68341370746794,-73.80812297863463
Forest Mall,R,PARK,0.45,40.63095170692816,-74.09126515594961
Marcus Garvey Park,M,PARK,20.165,40.80448551597634,-73.94366947479014
Dr. Thomasina Bushby Park,X,PARK,0.258,40.84956751973213,-73.91249421527576
Betsy Head Park,B,PARK,10.555,40.663100290001786,-73.91300085198611
Louis Armstrong Community Center,Q,PARK,0.452,40.75725540038848,-73.86134775999776
Gene Gray Playground,Q,PARK,0.229,40.606246775093524,-73.81919657673834
Josephine Caminiti Playground,Q,PARK,0.398,40.74391247150346,-73.86153375583928
Fred Samuel Playground,M,PARK,0.688,40.8171557462378,-73.93923671655433
Rockaway Community Park,Q,PARK,255.4,40.60305330956709,-73.78075790661426
Beach 17 Playground,Q,PARK,13.75,40.59448831291913,-73.74880454171034
Beach 30th Street Playground,Q,PARK,7.122,40.59246065197618,-73.76248932159967
Yellowstone Park,Q,PARK,1.745,40.72627729770125,-73.84753966287491
McKinley Playground,M,PARK,0.563,40.724254985321785,-73.98577707048821
Astoria Heights Playground,Q,PARK,2.2,40.76042085266847,-73.91174251918375
Hoparkinson R&L Block Association Garden,B,PARK,0.104,40.66192416410782,-73.91195703764228
Marine Park,B,PARK,800,40.596876205610215,-73.92030281562943
Martin Luther King Jr. Playground,B,PARK,2.29,40.66768685792666,-73.89042769841092
Clement Clarke Moore Park,M,PARK,0.489,40.74663080011854,-74.00430319051068
Bleecker Playground,M,PARK,0.477,40.73637861213312,-74.00549687488295
Penn South Playground,M,PARK,0.6,40.74759231094926,-73.99869279674967
St. James Triangle,M,PARK,0.043,40.71270227349796,-73.9985397733413
Maggie's Magic Garden,M,PARK,0.173,40.788805616002804,-73.94923140658517
Fort Totten Park,Q,PARK,60.394,40.793106677898855,-73.77789219252382
Tilyou Playground,B,PARK,0.299,40.57794562299344,-73.95847635291386
Garden,Q,PARK,0.1,40.691549405659714,-73.76185007296375
Patterson Playground,X,PARK,2.37,40.81578291203226,-73.92228540808416
Avenue R Mall,B,PARK,0.258,40.605150839066674,-73.96362085499894
Pvt. Sonsire Triangle,B,PARK,0.036,40.718469230102414,-73.95252183189513
Mount Eden Malls,X,PARK,1.682,40.84295582461734,-73.90997503312774
Herbert Von King Park,B,PARK,7.819,40.68967192425746,-73.94661964903992
Park,B,PARK,0.061,40.65468957013872,-73.92101874127756
Park,B,PARK,0.064,40.70368729549167,-73.96033199135057
Lithuania Square,B,PARK,0.02,40.70888456952075,-73.95092301510687
Turtle Playground,Q,PARK,0.476,40.74213894736641,-73.82743223890508
Detective Omar Edwards Park,M,PARK,0.252,40.80273639677703,-73.93503673693961
Catherine Slip Malls,M,PARK,0.25,40.70970245885756,-73.99619568371688
Forest Grove,R,PARK,0.39,40.62712146724862,-74.17398634340158
Crescent Park,X,PARK,0.436,40.87975056782179,-73.90212008195063
Fort Independence Playground,X,PARK,3.02,40.88189123601679,-73.89490716892794
Henry M. Jackson Playground,M,PARK,0.61,40.71397193522027,-73.98150460303064
Park,X,PARK,0.187,40.88009662565154,-73.921868902175
Brigadier General Charles Young Triangle,M,PARK,0.882,40.82721071787824,-73.93573453750628
Park,X,PARK,3.876,40.88166388858305,-73.90114624145276
Plaza,M,PARK,0.262,40.728947722871986,-74.00668109412233
Villa Santruce,M,PARK,0.096,40.79645380013487,-73.94568578045029
Central Park,M,PARK,840.01,40.782483838356455,-73.96555840117853
Redfern Playground,Q,PARK,3.04,40.611227036648934,-73.74964325961272
Howard Von Dohlen Playground,Q,PARK,1.381,40.6994401849189,-73.81297834351123
Penn Triangle,B,PARK,0.183,40.70076206680513,-73.9608538891284
Devanney Triangle,X,PARK,0.12,40.852532371173375,-73.90452184215758
Pearl St Playground,M,PARK,0.342,40.70791841750015,-74.00392587102313
High Rock Park,R,PARK,94.1,40.58292171030519,-74.12415380946466
MacDonald Park,Q,PARK,1.415,40.72223725171562,-73.84680327286071
Major General John R Brown Triangle,X,PARK,0.135,40.86963345415845,-73.90413076274264
Inwood Hill Park,M,PARK,196.398,40.87257356384416,-73.92544141131361
Bayswater Park,Q,PARK,40.16,40.59949932342293,-73.76965993849731
Cunningham Park,Q,PARK,358,40.733819094030004,-73.76880355253039
Trinity Park,B,PARK,6.3,40.69916043513645,-73.98429402027409
Dyker Beach Park,B,PARK,216.655,40.61128053035335,-74.01890647459776
Union Square Park,M,PARK,6.51,40.735834322357434,-73.99041159893693
Glenwood Playground,B,PARK,1.43,40.63674069882171,-73.91978780819638
Franklin D. Roosevelt Boardwalk and Beach,R,PARK,644.35,40.57890140606248,-74.07409227852753
Clove Lakes Park,R,PARK,193.423,40.6194618708335,-74.113742776961
Potomac Playground,B,PARK,1.315,40.68206772322326,-73.94430358945853
West 23rd St. Garden,B,PARK,1.31,40.57877837096161,-73.99120458294558
Phoenix Community Garden,B,PARK,0.475,40.67851476646764,-73.9116793917384
Imagination Playground,M,PARK,0.363,40.706203662928736,-74.00410325596997
Walter Miller III Memorial Garden (La Casa Frela),M,PARK,0.047,40.80306165785945,-73.94563965663001
Blood Root Valley,R,PARK,161.242,40.59140976086385,-74.13393126796538
Bronx River Parkway,X,PARK,206.717,40.86952351313727,-73.8683167118761
Asser Levy Park,B,PARK,21.039,40.574731365605665,-73.97353099490509
Amersfort Park,B,PARK,3.557,40.62865608344822,-73.93901130379896
Wards Island Park,M,PARK,170.7,40.78452968704431,-73.92973338025955
Fort Hamilton Athletic Field,B,PARK,6.02,40.62666320256893,-74.03738735322099
St. Mary's Park,B,PARK,0.345,40.67643122673958,-73.99721990458788
Harlem River Park,M,PARK,5.756,40.80630398702286,-73.9339638333469
Bensonhurst Park,B,PARK,17.5,40.59651286245377,-74.00130224807027
Bayside Fields,Q,PARK,2.69,40.77297199237447,-73.78569995222699
Floyd Patterson Ballfields,B,PARK,2.3,40.66087567565375,-73.90408700884636
Dimattina Playground,B,PARK,1.38,40.679958679544015,-74.00274378472177
La Guardia Playground,B,PARK,0.773,40.70991500460211,-73.95917250224497
Tribeca Dog Run,M,PARK,0.096,40.71621227559973,-74.01207797033527
Field Of Dreams Court,X,PARK,0.172,40.82658401353897,-73.89227151497231
William F. Passannante Ballfield,M,PARK,0.607,40.72855691895717,-74.00225325608068
Rodney Park Center,B,PARK,0.237,40.70849750770618,-73.95671384330845
Broad Channel American Park,Q,PARK,18.768,40.596399056671956,-73.82281927554394
Calvert Vaux Park,B,PARK,85.527,40.58450607511579,-73.99475491445656
Coney Island Boat Basin,B,PARK,36.81,40.58270267146778,-73.99138632341287
Barretto Park,X,PARK,0.12,40.8128497157691,-73.88863044234967
Alexander's Alley,X,PARK,0.11,40.81150799870281,-73.9232270154533
Ralph Bunche Park,M,PARK,0.211,40.74930189535848,-73.96980668507645
London Planetree Playground,Q,PARK,1.837,40.68613983049937,-73.8532421245089
110th Street Block Association Garden,M,PARK,0.048,40.79616592404296,-73.94732851738962
Daly Ave Garden,X,PARK,0.172,40.844132027618635,-73.88348407375855
Wave Hill,X,PARK,20.867,40.89888682743564,-73.9124353883234
Park,R,PARK,0.96,40.63832908140835,-74.12193853219772
Washington's Walk,X,PARK,4.637,40.87364117595537,-73.89962318714028
Kingsbridge Heights Community Center,X,PARK,0.329,40.87757874453714,-73.90070172899068
Carmansville Playground,M,PARK,0.573,40.829188822054725,-73.94425772572647
Roebling Playground,B,PARK,1.23,40.70634889244707,-73.9617248558325
Frank D. O'Connor Playground,Q,PARK,1.537,40.74424703347648,-73.8867229746458
Albemarle Playground,B,PARK,0.538,40.64592137449996,-73.9805721566964
Williamsbridge Oval,X,PARK,19.749,40.87762743955598,-73.87738571642649
Risse Street Park,X,PARK,0.806,40.878565042550825,-73.88528622372156
Margaret I. Carman Green - Weeping Beech,Q,PARK,2.6,40.76339653771297,-73.82463948670707
Bryan Park,X,PARK,0.15,40.862140811061195,-73.89418451032131
Jackie Robinson Park,M,PARK,12.772,40.82658501810079,-73.94112979682349
Chelsea Park,M,PARK,3.9,40.74994164790342,-74.00072825751178
Rita Ley Triangle,X,PARK,0.12,40.89912822933099,-73.87314313570153
Davidson Playground,X,PARK,0.207,40.85506062314121,-73.90770792150302
Grand Playground,X,PARK,0.381,40.856031561807626,-73.90722951379779
Cleopatra Playground,X,PARK,0.618,40.845420670100815,-73.90420039567232
Galileo Playground,X,PARK,0.714,40.84860443669435,-73.915688791833
Mount Hope Playground,X,PARK,0.7,40.850298333557596,-73.90943943727663
Downing Street Playground,M,PARK,0.223,40.72985381056445,-74.00271447082088
Highbridge Park,X,PARK,0.82,40.84207696518273,-73.926789152195
Alexander Hamilton Playground,M,PARK,0.811,40.8230791548611,-73.95128561125588
Woodycrest Community Garden,X,PARK,0.012,40.83127151830678,-73.92939508988842
Webster Playground,X,PARK,0.744,40.85938385976335,-73.89289227502434
Lot,X,PARK,1.194,40.831181149977624,-73.92344305162307
Thorpe Family Playground,X,PARK,0.201,40.85622320515273,-73.89487681417778
61 Franklin Street Garden,B,PARK,0.04,40.72754471665024,-73.95745751580978
Belmont Playground,X,PARK,2.213,40.850287844619025,-73.88769370970272
Riverside Park,M,PARK,13.35,40.8260698689208,-73.95365809523396
Stop & Go Playground,X,PARK,0.316,40.84501361481155,-73.89882166199459
El Batey de Doña Provi Garden,X,PARK,0.13,40.847825698249785,-73.89633800083854
Murphy Brothers Playground,M,PARK,1.275,40.73024321962092,-73.9733971627804
Youth Village,X,PARK,0.27,40.82870413334238,-73.9029275725389
Edith Garden,X,PARK,0.116,40.82275098936407,-73.91242431342945
