source,listing_id,district,lat,lon,property_type_ar,property_type_en,price_sar,area_sqm,price_per_sqm,bedrooms,bathrooms,age_years,listing_date,url
haraj,11180294877,طويق,24.551480581654,46.51653342781,Floor,apartment,900000.0,249.09,3613.15,8,,,2026-05-09,https://haraj.com.sa/11180294877/للبيع_دور_اول_مع_شقه/
haraj,11180062149,العوالي,24.567761173652,46.602491018397,شقة,apartment,600000.0,162.79,3685.73,4,,0,2026-05-06,https://haraj.com.sa/11180062149/شقق_للبيع/
haraj,11180062026,العوالي,24.567597951712,46.604640456332,شقة,apartment,650000.0,163.0,3987.73,4,,0,2026-05-06,https://haraj.com.sa/11180062026/شقق_للبيع/
haraj,11180053289,طويق,24.577160313783,46.591897581377,عمارة,building,1950000.0,400.0,4875.0,10,,,2026-05-05,https://haraj.com.sa/11180053289/للبيع_عماره_بحي_طويق/
haraj,11180014947,طويق,24.575078876886,46.584174537374,شقة,apartment,620000.0,117.0,5299.15,5,,0,2026-05-05,https://haraj.com.sa/11180014947/شقة_ملحق_بموقع_مميز_بطويق/
haraj,11179996467,العوالي,24.567740120538,46.603079601677,شقة,apartment,580000.0,163.0,3558.28,5,,0,2026-05-04,https://haraj.com.sa/11179996467/شقق_للبيع/
haraj,11179988660,طويق,24.566048815591,46.576175790763,شقة,apartment,700000.0,127.4,5494.51,3,,,2026-05-04,https://haraj.com.sa/11179988660/شقه_للبيع_حي_طويق/
haraj,11179877405,طويق,24.573592324258,46.537563383678,شقة,apartment,500000.0,116.68,4285.22,4,,,2026-05-03,https://haraj.com.sa/11179877405/شقة_للبيع_مقابل_مرفق_ومسجد/
haraj,11179774529,طويق,24.562385379333,46.565406731166,شقة,apartment,550000.0,132.86,4139.7,4,,,2026-05-01,https://haraj.com.sa/11179774529/شقة_للبيع/
haraj,11179636336,طويق,24.557324979028,46.529137538855,شقة,apartment,570000.0,184.0,3097.83,4,,,2026-04-29,https://haraj.com.sa/11179636336/للبيع_شقه_حي_طويق/
haraj,11179252924,الزهرة,24.58515490428,46.648240710206,شقة,apartment,600000.0,138.1,4344.68,3,,0,2026-04-22,https://haraj.com.sa/11179252924/شقق_تمليك_للبيع_بحي_الزهره_بموقع_ممتاز_واسعار_منافسه/
haraj,11178785582,ضاحية نمار,24.501139298344,46.537653173139,شقة,apartment,430000.0,130.0,3307.69,3,,0,2026-04-15,https://haraj.com.sa/11178785582/شقة_للبيع/
haraj,11178642440,طويق,24.56599810458,46.549973944611,Apartment,apartment,550000.0,122.63,4485.04,6,,,2026-04-13,https://haraj.com.sa/11178642440/للبيع_شقه_مستخدمه_ب_طويق/
haraj,11178624654,طويق,24.559546723572,46.540064298892,شقة,apartment,560000.0,137.0,4087.59,4,,0,2026-04-12,https://haraj.com.sa/11178624654/شقة_جديدة_للبيع_حي_طويق_بسعر_مناسب/
haraj,11178569383,طويق,24.558425375774,46.519935169648,شقة,apartment,440000.0,119.61,3678.62,3,,,2026-04-11,https://haraj.com.sa/11178569383/شقة_للبيع_حي_طويق_شارع_احمد_بن_خطاب/
haraj,11178281425,طويق,24.559981763324,46.519406282512,Apartment,apartment,750000.0,171.73,4367.32,6,,,2026-04-07,https://haraj.com.sa/11178281425/للبيع_شقه_جديده_دورين_في_حي_طويق_موقع_ممتاز/
haraj,11180707594,الرمال,24.92749051992,46.782545308167,شقة,apartment,600000.0,143.0,4195.8,3,,0,2026-05-16,https://haraj.com.sa/11180707594/شقة_دور_للبيعالرمال_تنال/
haraj,11180526570,العارض,24.861272134874,46.626892219775,شقة,apartment,1400000.0,113.0,12389.38,2,,,2026-05-13,https://haraj.com.sa/11180526570/للبيع_شقه_في_مشروع_مكين_37_بالعارض/
haraj,11180492197,الرمال,24.934523101692,46.79455974591,شقة,apartment,600000.0,95.0,6315.79,3,,,2026-05-12,https://haraj.com.sa/11180492197/شقه_للبيع_بحي_الرمال/
haraj,11180419285,البيان,24.864972510049,46.854642738193,شقة,apartment,600.0,91.66,6.55,4,,0,2026-05-11,https://haraj.com.sa/11180419285/شقة_للبيع_حي_البيان/
haraj,11180331244,الرمال,24.930743105569,46.818099683964,شقة,apartment,620000.0,121.0,5123.97,4,,,2026-05-10,https://haraj.com.sa/11180331244/شقة_للبيع_دور_اول_حي_الرمال/
haraj,11180301136,الرمال,24.8624279464,46.830342045517,شقة,apartment,860000.0,115.0,7478.26,3,,0,2026-05-09,https://haraj.com.sa/11180301136/للبيع_شقه_تاون_هاوس_ارضي_حي_الرمال_الشعبي/
haraj,11180121537,العارض,24.874278118598,46.620928829748,شقة,apartment,1100000.0,105.43,10433.46,2,,,2026-05-06,https://haraj.com.sa/11180121537/شقة_للبيعحي_العارض_تم_البيع/
haraj,11179583311,الجنادرية,24.850924235535,46.900840320379,شقة,apartment,580000.0,177.0,3276.84,5,,0,2026-04-28,https://haraj.com.sa/11179583311/شقة_فاخرة_للبيع_غصون_الجنادرية_شرق_الرياض/
haraj,11179535149,الجنادرية,24.851059352461,46.901009003323,شقة,apartment,580000.0,176.77,3281.1,5,,0,2026-04-27,https://haraj.com.sa/11179535149/شقة_فاخرة_للبيع_غصون_الجنادرية_شرق_الرياض/
haraj,11179485140,النرجس,24.841539897922,46.668013520266,شقة,apartment,1480000.0,168.0,8809.52,9,,0,2026-04-26,https://haraj.com.sa/11179485140/شقة_للبيع_في_شارع_رقم_454حي_النرجسمدينة_الرياض/
haraj,11178948814,البيان,24.89639379811,46.862822985875,Apartment,apartment,500000.0,122.13,4094.0,3,,0,2026-04-18,https://haraj.com.sa/11178948814/شقه_للبيع_في_الرمال/
haraj,11178852226,الرمال,24.87197721821,46.843288380145,شقة,apartment,1250000.0,168.45,7420.6,3,,,2026-04-16,https://haraj.com.sa/11178852226/شقه_للبيع_في_الرمال/
haraj,11178616749,الرمال,24.860154634764,46.806562152311,Apartment,apartment,660000.0,59.07,11173.18,3,,0,2026-04-12,https://haraj.com.sa/11178616749/للبيع_شقه_حي_الرمال_ديم_الماجديه/
haraj,11177977479,النظيم,24.859423166844,46.928119138819,Apartment,apartment,480000.0,119.19,4027.18,4,,0,2026-04-02,https://haraj.com.sa/11177977479/شقة_للبيع_في_حي_النظيممدينة_الرياض/
haraj,11177913647,الندوة,24.790029149494,46.881567523435,Floor,apartment,550000.0,144.28,3812.03,4,,0,2026-04-01,https://haraj.com.sa/11177913647/للبيع_شقة_علوية_فاخرة_بحي_الندوة/
haraj,11180441141,بدر,24.5293663572,46.686745530384,شقة,apartment,380000.0,127.0,2992.13,4,3,,2026-05-12,https://haraj.com.sa/11180441141/شقة_للبيعكاشحي_بدرقرب_جامع_العودة_/
haraj,11180384041,بدر,24.543330957913,46.717925875288,Apartment,apartment,1900.0,101.88,18.65,1,,0,2026-05-11,https://haraj.com.sa/11180384041/ثلاث_شقق_للبيع_المستعجل_كاش/
haraj,11180119691,عكاظ,24.517385493565,46.675596153326,شقة,apartment,800000.0,241.1,3318.13,6,,,2026-05-06,https://haraj.com.sa/11180119691/شقة_للبيع_حي_عكاظ/
haraj,11180062295,بدر,24.54219943034,46.73045354178,شقة,apartment,470000.0,165.59,2838.34,4,,0,2026-05-06,https://haraj.com.sa/11180062295/شقق_للبيع/
haraj,11180032642,بدر,24.49887904867,46.739509037989,شقة,apartment,450000.0,80.0,5625.0,5,,0,2026-05-05,https://haraj.com.sa/11180032642/شقة_للبيع/
haraj,11179941793,بدر,24.522222996817,46.703417647869,شقة,apartment,380000.0,158.0,2405.06,4,,,2026-05-04,https://haraj.com.sa/11179941793/للبيع_شقة_في_حي_بدر/
haraj,11179594053,بدر,24.524203648449,46.705227203219,شقة,apartment,420000.0,158.0,2658.23,4,,,2026-04-28,https://haraj.com.sa/11179594053/للبيع_شقة_في_حي_بدر/
haraj,11179496749,بدر,24.501787038294,46.730331827308,دور,apartment,550000.0,250.0,2200.0,6,,0,2026-04-26,https://haraj.com.sa/11179496749/دور_أول_مساحة_500_السعر_550الف_قابل_للتفاوض/
haraj,11179496380,بدر,24.501731193704,46.730370675549,شقة,apartment,450000.0,138.0,3260.87,4,,0,2026-04-26,https://haraj.com.sa/11179496380/شقه_للبيع_مساحتها_500_السعر_450_000_مدخل_خاص/
haraj,11178745866,الجنادرية,24.849779532024,46.899840490377,شقة,apartment,550000.0,129.21,4256.64,4,,,2026-04-14,https://haraj.com.sa/11178745866/شقة_للبيع_حي_الجنادرية/
haraj,11177331170,بدر,24.527290194813,46.684985424933,Building,building,450000.0,104.36,4312.0,5,,0,2026-03-21,https://haraj.com.sa/11177331170/شقق_تمليك/
haraj,11176267133,بدر,24.547415652723,46.705908414097,Apartment,apartment,350000.0,146.44,2390.06,5,,,2026-02-28,https://haraj.com.sa/11176267133/شقه_للبيع_في_حي_بدر_مساحة_146فرصه/
haraj,11176264933,بدر,24.53208605475,46.690011946736,Apartment,apartment,490000.0,134.47,3643.94,4,,0,2026-02-28,https://haraj.com.sa/11176264933/شقة_مودرن_للبيع/
haraj,11176231080,عكاظ,24.520070794742,46.663013439524,Apartment,apartment,580000.0,197.78,2932.55,4,,0,2026-02-28,https://haraj.com.sa/11176231080/شقق_فاخرة_للبيع_حي_عكاظ/
haraj,11176049800,عكاظ,24.532663798693,46.658968199624,عمارة,building,500000.0,132.86,3763.36,4,,0,2026-02-24,https://haraj.com.sa/11176049800/بيع_شقق_حي_عكاظ_يوجد_لدينا_تسويق_كامل/
haraj,11175906939,بدر,24.513841952261,46.756529125632,Apartment,apartment,390000.0,77.49,5032.91,3,,0,2026-02-22,https://haraj.com.sa/11175906939/للبيع_شقة_بحي_بدر_كود_33/
haraj,11175226653,بدر,24.525773178873,46.703377145526,Apartment,apartment,490000.0,134.19,3651.54,3,,0,2026-02-11,https://haraj.com.sa/11175226653/شقق_تمليك_فاخره_في_حي_بدر_اسعار_تبدا_من_490_الف/
haraj,11175117204,بدر,24.527346941673,46.689476706807,Apartment,apartment,490000.0,193.96,2526.29,4,,0,2026-02-09,https://haraj.com.sa/11175117204/شقة_جديدة_للبيع_حي_بدربجوار_جامع_العودة_/
haraj,11174377634,بدر,24.532984416821,46.685094748994,Floor,apartment,490000.0,119.18,4111.43,5,,0,2026-01-29,https://haraj.com.sa/11174377634/للبيع_شقة_في_حي_بدر_بسعر_490_الف_كود33/
haraj,11179246843,المهدية,24.647595001537,46.492991457262,Apartment,apartment,800000.0,128.36,6232.47,3,,0,2026-04-22,https://haraj.com.sa/11179246843/شقق_للبيع_حي_المهدية/
haraj,11178228639,المهدية,24.656853713125,46.521036473196,Apartment,apartment,900000.0,131.81,6828.01,3,,0,2026-04-06,https://haraj.com.sa/11178228639/شقة_للبيع_في_حي_المهديةالرياض_مسطحات_البناء_131_متر_مربع/
haraj,11177529625,المهدية,24.65177897262,46.519422129844,Villa,villa,5000000.0,450.0,11111.11,7,,0,2026-03-25,https://haraj.com.sa/11177529625/شقق_للبيع_بالمهديه_بها_نادى_صحى_4_غرف_وصاله_بسعر_700_الف/
haraj,11177529153,المهدية,24.636051400751,46.479198075069,Villa,villa,4500000.0,750.0,6000.0,6,,,2026-03-25,https://haraj.com.sa/11177529153/شقق_للبيع_بالمهديه_راقيه_4_غرف_وصاله_السعر_760_الف/
haraj,11177155648,المهدية,24.65107505673,46.515957811454,Apartment,apartment,800000.0,123.46,6479.83,5,,0,2026-03-16,https://haraj.com.sa/11177155648/شقة_للبيع_حي_المهدية_130_متر_/
haraj,11177002717,المهدية,24.660558660029,46.519562587994,Apartment,apartment,800000.0,117.22,6824.77,3,,0,2026-03-13,https://haraj.com.sa/11177002717/شقة_للبيع_الرياض_المهدية/
haraj,11176994426,المهدية,24.660540482498,46.519608832811,شقة,apartment,700000.0,88.62,7898.89,2,,0,2026-03-13,https://haraj.com.sa/11176994426/شقة_للبيع_في_المهدية/
haraj,11176987616,المهدية,24.660481266997,46.519597727532,شقة,apartment,950000.0,171.11,5551.98,3,,0,2026-03-13,https://haraj.com.sa/11176987616/شقة_فاخرة_للبيع_مساحة_171_متر_مربع_في_حي_المهديةالرياض/
haraj,11176945781,المهدية,24.638194882957,46.488894027309,عمارة,building,900000.0,126.83,7096.11,4,,0,2026-03-12,https://haraj.com.sa/11176945781/للبيع_شقق_تمليك_الحي_المهديه/
haraj,11180678912,ظهرة لبن,24.638773325886,46.554149549505,شقة بالدور الثاني,apartment,650000.0,130.36,4986.19,4,2,,2026-05-15,https://haraj.com.sa/11180678912/شقة_للبيع_في_ضاحية_لبن/
haraj,11180581221,ظهرة لبن,24.656535201462,46.573238067745,Apartment,apartment,1000000.0,154.0,6493.51,3,,,2026-05-14,https://haraj.com.sa/11180581221/شقه_للبيع_في_ظهرة_لبن_مليون_وثمانين_وعشرين_ألف/
haraj,11180240754,ظهرة لبن,24.65414038877,46.555993266132,شقة,apartment,800000.0,130.0,6153.85,3,,12,2026-05-08,https://haraj.com.sa/11180240754/للبيع_شقة_ظهرة_لبن/
haraj,11180049113,ظهرة لبن,24.62902963264,46.541708664417,شقة,apartment,790000.0,133.0,5939.85,5,,,2026-05-05,https://haraj.com.sa/11180049113/شقة_للبيع/
haraj,11179872708,لبن,24.640568554106,46.60056144241,شقة,apartment,850000.0,205.0,4146.34,4,,,2026-05-03,https://haraj.com.sa/11179872708/شقه_للبيع/
haraj,11179832988,ظهرة لبن,24.641187985953,46.549403093114,شقة,apartment,620000.0,149.23,4154.66,3,,,2026-05-02,https://haraj.com.sa/11179832988/للبيع_شقه_لبن_الغربي_بالدور_الأرضي/
haraj,11179517831,ظهرة لبن,24.639134070896,46.567827532859,Apartment,apartment,1000000.0,199.0,5025.13,4,,,2026-04-27,https://haraj.com.sa/11179517831/للبيع_شقة_دبليكس_فاخره_في_ظهرة_لبن/
haraj,11179168704,ظهرة لبن,24.608040245828,46.509988124033,شقة,apartment,600000.0,120.43,4982.15,3,,,2026-04-21,https://haraj.com.sa/11179168704/شقة_للبيع_ظهرة_لبن/
haraj,11178802846,ظهرة لبن,24.622328,46.552155,Apartment,apartment,570000.0,135.7,4200.44,4,,14,2026-04-15,https://haraj.com.sa/11178802846/شقة_للبيع_ظهرة_لين/
haraj,11178402409,ظهرة لبن,24.622985469949,46.523850610831,Apartment,apartment,950000.0,158.77,5983.5,5,,,2026-04-09,https://haraj.com.sa/11178402409/شقة_تمليك_للبيع/
haraj,11178382830,القادسية,24.818985713233,46.812226117297,Apartment,apartment,680000.0,127.9,5316.65,3,,,2026-04-08,https://haraj.com.sa/11178382830/شقه_للبيع_بالرياض_حي_القادسيه/
haraj,11178184465,ظهرة لبن,24.644191715383,46.552266260378,Apartment,apartment,900.0,107.0,8.41,5,,,2026-04-05,https://haraj.com.sa/11178184465/شقة_مودرن_مؤثثة_بموقع_مميز_للبيع_بظهرة_لبن/
haraj,11177796149,ظهرة لبن,24.612420644691,46.50484817595,شقة,apartment,740.0,900.0,0.82,4,,0,2026-03-30,https://haraj.com.sa/11177796149/للبيع_شقق_تمليك_فاخره_بحي_لبن/
haraj,11176820819,العارض,24.877590228831,46.629123942052,شقة,apartment,950000.0,120.34,7894.3,4,,4,2026-03-10,https://haraj.com.sa/11176820819/شقة_للبيع_حي_العارض/
haraj,11175176713,ظهرة لبن,24.642281059044,46.562678478523,شقة,apartment,695000.0,115.46,6019.4,3,,19,2026-02-10,https://haraj.com.sa/11175176713/للبيع_شقه_بحي_لبن_الغربي/
haraj,11180361106,الجنادرية,24.837457852798,46.881678634261,شقة,apartment,530.0,127.0,4.17,4,,,2026-05-10,https://haraj.com.sa/11180361106/شقه_للبيع_بسعر_مناسب_خمس_غرفه_نوم_وصاله_سطح/
haraj,11180164628,الجنادرية,24.839296663843,46.871423129867,شقة,apartment,500000.0,70.0,7142.86,3,,0,2026-05-07,https://haraj.com.sa/11180164628/شقة_جديدة_للبيع_في_فيلا_حي_الجنادرية_مربع_المشرقية/
haraj,11179989697,الجنادرية,24.837446435457,46.881691647986,شقة,apartment,530000.0,193.0,2746.11,4,,,2026-05-04,https://haraj.com.sa/11179989697/شقة_للبيع_بحي_الجنادرية_قريبة_من_جميع_الخدمات/
haraj,11179907582,الجنادرية,24.850814170293,46.8997117504,شقة,apartment,580000.0,83.0,6987.95,5,,0,2026-05-03,https://haraj.com.sa/11179907582/شقه_عن_دور_للبيع_5غرف_سطح_خاص_ب580الف_غصون_المربع_الذهبي_/
haraj,11179906625,الجنادرية,24.850835047812,46.899632257037,دور,apartment,750000.0,183.97,4076.75,6,,0,2026-05-03,https://haraj.com.sa/11179906625/شقتين_بصك_واحد_ب750الف_جديده_غصون_المربع_الذهبي/
haraj,11179589186,الجنادرية,24.841872777146,46.89,شقة,apartment,550000.0,101.0,5445.54,3,,0,2026-04-28,https://haraj.com.sa/11179589186/للبيع_شقة_في_حي_الجنادرية_عرض_رقم_1730_H/
haraj,11179196584,الجنادرية,24.841510553734,46.868423920707,شقة,apartment,530000.0,78.51,6750.73,4,,0,2026-04-21,https://haraj.com.sa/11179196584/شقه_جديده_للبيع_في_حي_غصون/
haraj,11178866396,الجنادرية,24.840835138365,46.869808518265,Apartment,apartment,450000.0,140.12,3211.53,2,,0,2026-04-16,https://haraj.com.sa/11178866396/شقة_تمليك_للبيع_شرق_الرياض/
haraj,11178155985,الجنادرية,24.849779532024,46.899840490377,Apartment,apartment,550000.0,129.21,4256.64,4,,,2026-04-05,https://haraj.com.sa/11178155985/شقة_للبيع_في_الرياض_حي_الجنادرية/
haraj,11178057611,الجنادرية,24.850673758889,46.897877619171,Floor,apartment,750000.0,164.27,4565.65,5,,0,2026-04-03,https://haraj.com.sa/11178057611/للبيع_ادوار_شقق_مميزة_في_حي_الجنادرية_في_منطقة_الرياض/
haraj,11177830045,الجنادرية,24.849779532024,46.899840490377,شقة,apartment,550000.0,129.21,4256.64,4,,,2026-03-30,https://haraj.com.sa/11177830045/شقة_للبيع/
haraj,11177771340,الجنادرية,24.849779532024,46.899840490377,شقة,apartment,550000.0,129.21,4256.64,3,,0,2026-03-29,https://haraj.com.sa/11177771340/شقة_للبيع_في_حي_الجنادرية/
haraj,11177580865,الجنادرية,24.857514020254,46.912103298348,Apartment,apartment,500000.0,114.97,4348.96,3,,0,2026-03-26,https://haraj.com.sa/11177580865/شقة_للبيع_الجنادريه_مخطط_غصون/
haraj,11177031618,الجنادرية,24.84585282417,46.893290185815,دور,apartment,550000.0,146.63,3750.94,3,,0,2026-03-14,https://haraj.com.sa/11177031618/شقه_للبيع/
haraj,11176306000,الجنادرية,24.848113969207,46.902672898158,شقة,apartment,600000.0,80.0,7500.0,3,,0,2026-03-01,https://haraj.com.sa/11176306000/شقة_للبيع/
haraj,11176105704,القادسية,24.81782590661,46.813417666302,Apartment,apartment,489000.0,100.0,4890.0,3,,,2026-02-25,https://haraj.com.sa/11176105704/شقة_للبيع_بحي_القادسية/
haraj,11180667787,العارض,24.880522546732,46.624523796247,Apartment,apartment,1170000.0,143.09,8176.67,3,,0,2026-05-15,https://haraj.com.sa/11180667787/شقق_للبيع_بحي_العارض/
haraj,11180563276,النرجس,24.882820164387,46.644891972421,Apartment,apartment,1200000.0,140.54,8538.49,3,,,2026-05-14,https://haraj.com.sa/11180563276/للبيع_شقة_في_الدور_الأول_في_عمارة_سكنية_في_حي_النرجس/
haraj,11180235653,النرجس,24.912369839507,46.623067854247,شقة,apartment,2206320.0,201.79,10933.74,3,,0,2026-05-08,https://haraj.com.sa/11180235653/شقق_سكنية_للبيع_الرياض_حي_النرجس/
haraj,11180084154,النرجس,24.855298672215,46.66436005083,شقة,apartment,1400000.0,164.0,8536.59,4,,0,2026-05-06,https://haraj.com.sa/11180084154/شقق_مودرن_للتمليك_بمدينة_الرياض_حي_النرجس/
haraj,11180067748,النرجس,24.867806107562,46.652732407414,شقة,apartment,1100000.0,92.0,11956.52,2,,,2026-05-06,https://haraj.com.sa/11180067748/شقه_مودرن_للبيع_بحي_النرجس/
haraj,11180018865,النرجس,24.869194666637,46.6,شقة,apartment,1200000.0,97.0,12371.13,3,,0,2026-05-05,https://haraj.com.sa/11180018865/شقق_رووف_بسطح_خاص_مستقل_للتمليك_بمدينة_الرياض_حي_النرجس/
haraj,11180006360,النرجس,24.91247113917,46.623143959806,شقة سكنية (غرفتين وصالة).,apartment,1190600.0,146.0,8154.79,3,,0,2026-05-05,https://haraj.com.sa/11180006360/شقه_للبيع/
haraj,11178794068,العارض,24.830935021953,46.620285442804,Apartment,apartment,1070000.0,175.75,6088.19,4,,,2026-04-15,https://haraj.com.sa/11178794068/شقه_للبيع_حي_العارض/
haraj,11178606109,الملقا,24.796305640037,46.623279146813,Apartment,apartment,1200000.0,120.75,9937.89,3,,,2026-04-12,https://haraj.com.sa/11178606109/شقة_للبيع_في_حي_الملقا/
haraj,11178120490,الرمال,24.851465732126,46.843792994483,شقة,apartment,630000.0,148.08,4254.46,4,,,2026-04-04,https://haraj.com.sa/11178120490/شقة_للبيع_حي_الرمال/
haraj,11177196308,النرجس,24.857570799641,46.662372917357,Apartment,apartment,1200000.0,116.76,10277.49,3,,0,2026-03-17,https://haraj.com.sa/11177196308/شقة_للبيع_حي_النرجس/
haraj,11177111586,النرجس,24.901673060285,46.64313579317,شقة,apartment,1200000.0,137.03,8757.21,6,,,2026-03-15,https://haraj.com.sa/11177111586/شقة_للبيع_في_حي_النرجس/
haraj,11176886318,الملقا,24.805996382885,46.597393386641,Apartment,apartment,1480000.0,99.0,14949.49,2,,,2026-03-11,https://haraj.com.sa/11176886318/شقة_سكنية_للبيع_حي_الملقا/
haraj,11176497722,النرجس,24.886957001259,46.645154705942,Apartment,apartment,1050000.0,123.1,8529.65,3,,0,2026-03-05,https://haraj.com.sa/11176497722/شقة_للبيع_في_حي_النرجس_جديدة_بكامل_الضمانات_بموقع_استراتيجي/
haraj,11176430433,النرجس,24.860621828033,46.661286418182,شقة,apartment,1200000.0,131.37,9134.51,3,,,2026-03-03,https://haraj.com.sa/11176430433/شقه_للبيع_ارضي_الماجديه_مشروع_142/
haraj,11176309465,النرجس,24.875310773993,46.662117610213,Apartment,apartment,970000.0,113.34,8558.32,3,,0,2026-03-01,https://haraj.com.sa/11176309465/شقة_للبيع_بحي_النرجس_جديدة/
haraj,11176066456,النرجس,24.856736505407,46.660742921924,شقة,apartment,1400000.0,150.07,9328.98,3,,,2026-02-25,https://haraj.com.sa/11176066456/للبيع_شقة_حي_النرجس_مشروع_العجلان/
haraj,11176030750,العارض,24.942827973764,46.559081458663,شقة,apartment,1600000.0,180.08,8884.94,3,,,2026-02-24,https://haraj.com.sa/11176030750/للبيع_شقة_بالنرجس_فاخره/
haraj,11175957550,النرجس,24.869556033126,46.642081171738,شقة,apartment,1050000.0,123.1,8529.65,5,,0,2026-02-23,https://haraj.com.sa/11175957550/شقة_للبيع_في_مجمع_الماجدية_حي_النرجس_للسكن_او_الاستثمار/
haraj,11175954699,النرجس,24.889332166477,46.656181648565,Apartment,apartment,1100000.0,113.27,9711.31,2,,0,2026-02-23,https://haraj.com.sa/11175954699/شقة_جديدة_للبيع_في_الرياض_حي_النرجس/
haraj,11180133511,العارض,24.865468731623,46.6342626545,شقة,apartment,1050000.0,238.0,4411.76,4,,0,2026-05-07,https://haraj.com.sa/11180133511/شقة_جديدة_للبيع_بحي_العارض_بالرياض/
haraj,11179951627,العارض,24.868442371874,46.627819275962,شقة,apartment,1100000.0,85.0,12941.18,4,,,2026-05-04,https://haraj.com.sa/11179951627/شقة_مميزة_للبيع_في_حي_العارض/
haraj,11179892419,النرجس,24.901673060285,46.64313579317,شقة,apartment,1200000.0,137.03,8757.21,4,,,2026-05-03,https://haraj.com.sa/11179892419/شقة_مودرن_للبيع_حي_النرجس/
